================[ Joint Distribution ]================
Value	Probability	
(0, (0, (0, (0, 0))))	0.0026325	
(0, (0, (0, (0, 1))))	0.002106	
(0, (0, (0, (0, 2))))	0.0008775	
(0, (0, (0, (0, 3))))	0	
(0, (0, (0, (1, 0))))	0.00020475	
(0, (0, (0, (1, 1))))	0.0001638	
(0, (0, (0, (1, 2))))	0.000819	
(0, (0, (0, (1, 3))))	0	
(0, (0, (1, (0, 0))))	0.00873	
(0, (0, (1, (0, 1))))	0.006984	
(0, (0, (1, (0, 2))))	0.00171	
(0, (0, (1, (0, 3))))	0	
(0, (0, (1, (1, 0))))	0.020979	
(0, (0, (1, (1, 1))))	0.0167832	
(0, (0, (1, (1, 2))))	0.004116	
(0, (0, (1, (1, 3))))	0	
(0, (1, (0, (0, 0))))	0.0014175	
(0, (1, (0, (0, 1))))	0.001134	
(0, (1, (0, (0, 2))))	0.0004725	
(0, (1, (0, (0, 3))))	0	
(0, (1, (0, (1, 0))))	0.00011025	
(0, (1, (0, (1, 1))))	0.0000882	
(0, (1, (0, (1, 2))))	0.000441	
(0, (1, (0, (1, 3))))	0	
(0, (1, (1, (0, 0))))	0.02037	
(0, (1, (1, (0, 1))))	0.016296	
(0, (1, (1, (0, 2))))	0.00399	
(0, (1, (1, (0, 3))))	0	
(0, (1, (1, (1, 0))))	0.048951	
(0, (1, (1, (1, 1))))	0.0391608	
(0, (1, (1, (1, 2))))	0.009604	
(0, (1, (1, (1, 3))))	0	
(1, (0, (0, (0, 0))))	0.0002925	
(1, (0, (0, (0, 1))))	0.000234	
(1, (0, (0, (0, 2))))	0.0000975	
(1, (0, (0, (0, 3))))	0	
(1, (0, (0, (1, 0))))	0.00002275	
(1, (0, (0, (1, 1))))	0.0000182	
(1, (0, (0, (1, 2))))	0.000091	
(1, (0, (0, (1, 3))))	0	
(1, (0, (1, (0, 0))))	0.03492	
(1, (0, (1, (0, 1))))	0.027936	
(1, (0, (1, (0, 2))))	0.00684	
(1, (0, (1, (0, 3))))	0	
(1, (0, (1, (1, 0))))	0.083916	
(1, (0, (1, (1, 1))))	0.0671328	
(1, (0, (1, (1, 2))))	0.016464	
(1, (0, (1, (1, 3))))	0	
(1, (1, (0, (0, 0))))	0.0001575	
(1, (1, (0, (0, 1))))	0.000126	
(1, (1, (0, (0, 2))))	0.0000525	
(1, (1, (0, (0, 3))))	0	
(1, (1, (0, (1, 0))))	0.00001225	
(1, (1, (0, (1, 1))))	0.0000098	
(1, (1, (0, (1, 2))))	0.000049	
(1, (1, (0, (1, 3))))	0	
(1, (1, (1, (0, 0))))	0.08148	
(1, (1, (1, (0, 1))))	0.065184	
(1, (1, (1, (0, 2))))	0.01596	
(1, (1, (1, (0, 3))))	0	
(1, (1, (1, (1, 0))))	0.195804	
(1, (1, (1, (1, 1))))	0.1566432	
(1, (1, (1, (1, 2))))	0.038416	
(1, (1, (1, (1, 3))))	0	

