num_apps	probability
0	0.41666666666666674
1	0.06712962962962964
2	0.03315891846707821
3	0.04893144102580594
4	0.057946777692602064
5	0.05777516217515916
6	0.05462376339790603
7	0.050629338805149644
8	0.04489547725965054
9	0.0385632461044501
10	0.03228943148077343
11	0.026198131655494297
12	0.02054896681397976
13	0.015672854981034528
14	0.011615794349631106
15	0.008331361402664597
16	0.005754821063112995
17	0.0038082909706539467
18	0.0024013926747123325
19	0.001437085370542105
20	0.0008130672219144207
21	0.0004323898975587948
22	0.00021443939279121071
23	9.820976921207763e-5
24	4.102710065328422e-5
25	1.5390196090771103e-5
26	5.081774563425129e-6
27	1.438544131815434e-6
28	3.3570298304160545e-7
29	6.049716224273108e-8
30	7.450580596923903e-9
31	4.656612873077455e-10
