num_apps	probability
0	0.03376635899946094
1	0.03940900703883478
2	0.0055731574246257985
3	0.009211836437629206
4	0.02673295997975302
5	0.03532028761468615
6	0.020295579816130605
7	0.029149717517806966
8	0.02535544672265271
9	0.024539857312350578
10	0.020565581925830807
11	0.031262096898257055
12	0.03581329035580964
13	0.05632156336864595
14	0.049399972462822135
15	0.048066094978064966
16	0.0810026427469164
17	0.03130599127852738
18	0.032763455856909054
19	0.03853405700237411
20	0.039210864083721056
21	0.032507399243372606
22	0.032248852066434686
23	0.030690349013759947
24	0.02841627566075791
25	0.026899172735547656
26	0.02914874941701489
27	0.027141081621044092
28	0.030245202440112837
29	0.020325064767051117
30	0.014092490003494308
31	0.014685543209603823
